application_id,applicant_id,ds,applicant_age,annual_income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,property_value,down_payment,loan_term_years,interest_rate,marital_status,num_dependents,residence_type,years_at_current_job,has_previous_mortgage,previous_default,bank_account_balance,is_approved
6293,Applicant_32,2023-02-20,64,56435.85,retired,776,0.26,309894.16,415062.41,76713.03,20,5.27,divorced,3,own_other,8,0,0,21051.49,1
6294,Applicant_32,2023-02-20,51,23453.08,self-employed,711,0.44,234390.72,418751.7,44482.97,20,5.6,single,4,own_other,24,1,0,18958.51,0
6295,Applicant_32,2023-02-23,62,30101.22,employed,688,0.21,205985.99,308977.45,47585.22,30,4.17,married,4,family,16,1,1,22143.42,0
6296,Applicant_32,2023-02-23,63,77798.69,employed,768,0.48,449638.95,800974.41,202936.99,15,5.78,married,1,rent,18,1,1,30538.52,1
6297,Applicant_32,2023-02-25,40,61989.75,self-employed,613,0.26,271397.72,427229.13,51687.12,25,5.27,married,1,family,25,0,0,18176.68,0
6298,Applicant_32,2023-02-25,44,42984.89,retired,700,0.37,105338.16,129452.58,17526.68,15,5.97,divorced,0,own_other,6,1,0,14575.25,1
6299,Applicant_32,2023-02-27,53,30488.05,self-employed,683,0.28,275450.25,345584.79,59420.35,30,3.5,married,3,own_other,4,0,0,22069.39,0
6300,Applicant_32,2023-02-28,30,44311.05,retired,573,0.21,112197.65,172284.06,36140.67,30,4.12,single,0,family,12,1,0,14284.74,1
6301,Applicant_32,2023-02-28,38,67258.51,retired,676,0.45,287392.37,507823.51,104340.98,30,4.69,married,1,rent,16,0,0,21295.94,1
6302,Applicant_32,2023-03-02,55,35051.97,retired,662,0.39,359224.71,614340.12,137731.61,15,5.06,married,1,rent,30,1,0,14773.4,1
6303,Applicant_32,2023-03-02,59,21571.53,employed,783,0.46,210082.33,395964.4,54671.78,20,4.52,single,0,rent,5,0,0,7261.36,1
6304,Applicant_32,2023-03-04,62,85028.13,self-employed,724,0.22,435135.72,812688.92,124998.26,15,3.62,married,2,rent,13,0,0,25158.64,1
6305,Applicant_32,2023-03-04,57,99671.39,employed,786,0.27,130272.83,219923.73,48802.09,15,3.12,married,2,own_other,22,0,0,30825.51,1
6306,Applicant_32,2023-03-05,59,110574.12,employed,850,0.12,326949.01,415934.32,77903.94,15,5.17,divorced,4,family,28,0,0,35401.83,1
6307,Applicant_32,2023-03-06,34,38756.31,retired,617,0.35,100118.33,197375.11,23627.26,20,4.66,married,0,rent,25,0,0,15365.46,0
6308,Applicant_32,2023-03-07,65,80754.02,self-employed,749,0.28,63112.19,110366.7,32967.3,20,3.59,married,4,own_other,26,0,0,33873.82,1
6309,Applicant_32,2023-03-07,54,67081.22,employed,736,0.27,197750.22,269509.81,60384.45,20,5.19,married,0,family,13,1,0,22351.14,1
6310,Applicant_32,2023-03-08,53,82117.0,self-employed,688,0.25,240002.14,365890.73,81329.21,25,5.2,single,3,family,9,1,0,28539.18,1
6311,Applicant_32,2023-03-08,48,37118.68,retired,791,0.3,230645.66,429428.04,90177.8,30,5.42,divorced,0,family,12,0,0,8523.47,1
6312,Applicant_32,2023-03-11,26,39348.81,self-employed,613,0.36,103369.4,175080.95,30586.53,20,3.13,single,2,rent,0,0,0,20819.97,0
6313,Applicant_32,2023-03-11,50,151274.97,employed,850,0.1,65193.96,121341.54,33198.02,25,3.18,divorced,2,family,14,0,0,37816.69,0
6314,Applicant_32,2023-03-12,51,85852.22,retired,804,0.3,342505.13,670660.31,194050.14,20,5.33,married,1,own_other,14,0,0,26671.22,1
6315,Applicant_32,2023-03-13,30,30768.25,employed,588,0.49,468430.65,607147.07,64400.06,25,5.78,divorced,3,own_other,21,0,0,18569.43,0
6316,Applicant_32,2023-03-14,31,73629.73,employed,676,0.3,54522.52,87195.26,9112.23,15,4.13,married,4,rent,2,0,0,33412.51,1
6317,Applicant_32,2023-03-14,26,98533.09,employed,788,0.16,397269.42,719867.52,208925.7,25,4.94,married,1,own_other,2,1,1,29199.47,1
6318,Applicant_32,2023-03-16,49,24959.37,employed,580,0.28,365153.83,720579.1,99459.09,25,4.68,divorced,1,own_other,6,1,0,13745.78,0
6319,Applicant_32,2023-03-16,25,45849.69,retired,652,0.26,199342.62,299923.04,86186.46,20,4.15,single,4,rent,13,0,0,16656.81,1
6320,Applicant_32,2023-03-17,46,76613.86,employed,641,0.31,114249.18,185843.77,43213.59,25,5.83,married,1,own_other,12,1,0,25419.83,1
6321,Applicant_32,2023-03-17,27,41360.82,self-employed,717,0.22,363200.47,495856.1,134225.41,30,5.35,divorced,4,family,19,0,0,11771.44,1
6322,Applicant_32,2023-03-18,47,76346.6,self-employed,729,0.42,92068.35,144942.44,39404.5,20,5.98,single,4,rent,5,1,0,31100.24,1
6323,Applicant_32,2023-03-19,43,33511.99,employed,731,0.43,99762.34,151825.63,25331.03,15,3.18,married,4,own_other,2,0,0,19100.14,1
6324,Applicant_32,2023-03-22,52,83888.83,employed,712,0.29,442860.86,754357.62,205509.47,15,3.51,single,1,own_other,17,1,1,32943.74,1
6325,Applicant_32,2023-03-22,40,94203.95,retired,708,0.27,257383.45,372987.27,101699.83,25,4.52,divorced,1,family,13,0,0,34357.97,1
6326,Applicant_32,2023-03-23,35,74157.07,self-employed,772,0.47,490464.07,809287.76,116023.82,30,5.12,divorced,0,rent,15,1,0,36922.81,1
6327,Applicant_32,2023-03-23,31,11738.79,self-employed,650,0.38,404417.77,587772.59,114067.24,25,3.4,single,0,own_other,12,0,0,0.0,0
6328,Applicant_32,2023-03-24,59,96938.34,retired,759,0.16,304717.98,464230.59,56674.72,25,5.49,divorced,3,family,21,1,0,23374.71,1
6329,Applicant_32,2023-03-24,43,130480.39,retired,679,0.22,400971.82,545191.05,55947.29,15,3.24,married,4,rent,26,1,1,34947.1,0
6330,Applicant_32,2023-03-25,45,55700.03,self-employed,703,0.33,366368.1,545847.26,78607.99,25,5.26,divorced,3,rent,18,1,1,29502.48,0
6331,Applicant_32,2023-03-25,48,53233.84,employed,649,0.45,176150.55,225357.19,45950.45,15,3.97,single,4,family,5,0,0,16469.69,1
6332,Applicant_32,2023-03-26,37,65066.46,self-employed,589,0.47,234156.91,312441.03,59403.71,25,5.16,married,4,rent,11,1,1,24870.81,0
6333,Applicant_32,2023-03-31,62,110781.35,self-employed,757,0.13,254435.0,393153.45,62962.51,25,5.44,married,0,rent,4,0,0,33210.16,1
6334,Applicant_32,2023-04-01,26,33175.46,retired,565,0.48,376589.9,590974.56,77837.56,30,5.05,divorced,1,family,12,1,0,22782.36,0
6335,Applicant_32,2023-04-01,33,121176.31,retired,746,0.12,197434.25,240833.04,26078.17,20,3.16,divorced,2,rent,25,1,0,36899.74,0
6336,Applicant_32,2023-04-04,34,68692.68,employed,692,0.23,373158.29,675934.46,69916.77,20,3.15,single,0,rent,4,1,0,21939.52,0
6337,Applicant_32,2023-04-04,59,23293.8,retired,744,0.34,234406.98,337268.32,61247.23,30,4.59,married,1,own_other,23,0,0,9373.8,1
6338,Applicant_32,2023-04-05,40,38560.74,retired,620,0.32,498238.09,921645.41,125873.32,15,4.8,married,1,family,29,1,0,21357.38,1
6339,Applicant_32,2023-04-06,51,37760.77,retired,654,0.39,74860.44,135280.24,24702.45,25,5.1,married,2,family,24,1,1,23896.25,0
6340,Applicant_32,2023-04-10,29,65467.27,retired,689,0.33,84230.47,128721.38,13237.78,15,5.85,single,0,rent,5,1,0,18371.02,1
6341,Applicant_32,2023-04-12,31,63688.52,retired,648,0.43,480782.07,754285.57,80409.98,15,5.03,married,2,own_other,8,1,0,24723.85,0
6342,Applicant_32,2023-04-12,60,53671.57,retired,699,0.27,118189.37,190743.45,20542.5,15,5.85,divorced,2,family,20,1,0,25989.72,1
6343,Applicant_32,2023-04-13,46,24814.01,retired,640,0.27,272174.49,466405.39,77056.49,15,4.0,married,0,own_other,7,0,0,13250.52,1
6344,Applicant_32,2023-04-14,35,57732.4,self-employed,597,0.28,465827.12,573225.79,57513.14,20,3.31,single,4,family,0,0,0,19123.42,1
6345,Applicant_32,2023-04-15,26,65048.59,retired,606,0.34,237463.86,419785.99,101844.64,25,5.3,divorced,0,own_other,19,0,0,21229.39,0
6346,Applicant_32,2023-04-15,65,44460.64,employed,689,0.21,469619.25,893852.94,247027.51,20,4.45,divorced,4,rent,24,0,0,22705.29,1
6347,Applicant_32,2023-04-16,31,55211.79,employed,602,0.33,90366.7,110105.08,23906.72,25,3.85,married,3,rent,17,0,0,20874.66,0
6348,Applicant_32,2023-04-16,32,75555.05,employed,669,0.28,133023.28,223043.57,41746.72,30,4.7,divorced,4,own_other,6,1,0,35257.49,0
6349,Applicant_32,2023-04-17,56,66099.35,employed,707,0.27,260913.17,395777.6,86183.98,30,5.94,single,2,family,16,0,0,28115.61,1
6350,Applicant_32,2023-04-19,55,47297.37,employed,714,0.38,261574.09,364664.12,93553.42,30,4.62,married,3,family,24,0,0,27235.16,0
6351,Applicant_32,2023-04-21,47,64624.72,retired,697,0.35,107935.38,180754.38,20342.01,30,5.39,single,4,own_other,11,0,0,32212.87,1
6352,Applicant_32,2023-04-21,51,89152.56,self-employed,850,0.2,220462.59,350020.47,65700.54,15,3.96,divorced,2,rent,29,0,0,27973.65,1
6353,Applicant_32,2023-04-23,49,137577.9,retired,787,0.19,453278.97,575272.15,98692.59,25,3.06,divorced,2,rent,24,1,0,36582.12,1
6354,Applicant_32,2023-04-23,63,116206.18,retired,850,0.25,235199.34,459898.55,118492.45,30,4.23,married,4,family,26,0,0,34712.57,1
6355,Applicant_32,2023-04-26,54,51138.42,retired,652,0.45,128626.13,237266.41,29380.24,15,3.78,single,3,family,27,1,1,18318.27,0
6356,Applicant_32,2023-04-26,43,73512.63,retired,715,0.36,483934.86,898562.74,97519.82,20,3.91,single,1,rent,28,0,0,23660.11,0
6357,Applicant_32,2023-04-28,47,107722.43,self-employed,776,0.14,388534.95,734380.71,81407.4,20,3.04,divorced,3,family,9,0,0,26837.17,1
6358,Applicant_32,2023-04-30,41,33760.38,self-employed,699,0.49,219658.11,383761.3,92516.39,25,5.76,single,0,rent,30,0,0,12458.2,1
6359,Applicant_32,2023-05-01,34,80917.03,employed,653,0.11,138533.19,251431.03,37701.88,25,3.81,single,2,own_other,2,0,0,26389.66,1
6360,Applicant_32,2023-05-01,60,35598.4,self-employed,705,0.48,484096.89,678484.38,89604.15,30,4.66,single,0,family,12,1,1,14959.24,0
6361,Applicant_32,2023-05-04,48,75318.43,employed,689,0.2,194928.2,380396.15,112711.83,30,3.14,married,3,rent,14,1,1,24590.74,0
6362,Applicant_32,2023-05-05,30,189785.95,employed,846,0.12,172596.15,247058.65,61160.76,20,3.79,married,2,family,14,1,0,47392.97,1
6363,Applicant_32,2023-05-06,56,37720.54,retired,604,0.24,285506.97,352090.17,57298.76,20,3.44,divorced,4,own_other,20,0,0,24208.01,1
6364,Applicant_32,2023-05-06,52,12339.63,employed,723,0.35,486673.36,934800.88,106648.55,20,5.46,single,0,family,10,0,0,18205.73,1
6365,Applicant_32,2023-05-07,40,31744.77,retired,594,0.22,381171.64,528569.36,109256.43,30,5.47,single,2,own_other,3,0,0,17420.71,1
6366,Applicant_32,2023-05-08,29,70191.88,retired,590,0.37,75029.54,139572.86,23612.03,25,4.96,single,4,rent,29,0,0,32173.04,0
6367,Applicant_32,2023-05-09,34,24641.85,retired,623,0.29,396868.71,596552.83,100140.2,20,5.45,divorced,4,family,12,0,0,16546.95,0
6368,Applicant_32,2023-05-15,27,93834.49,retired,740,0.24,461014.29,754894.54,96867.6,25,3.44,divorced,3,family,19,0,0,23827.04,1
6369,Applicant_32,2023-05-16,57,82067.13,retired,754,0.27,218361.13,323973.94,58392.57,25,5.63,divorced,2,family,27,1,0,24568.99,1
6370,Applicant_32,2023-05-19,33,93447.46,retired,600,0.19,324916.04,554928.68,114729.85,30,5.67,married,0,own_other,8,1,0,20625.93,1
6371,Applicant_32,2023-05-19,65,51529.3,self-employed,774,0.44,97409.7,157450.45,17401.9,15,5.94,married,2,rent,4,0,0,12024.67,0
6372,Applicant_32,2023-05-20,51,62713.83,employed,649,0.23,212464.72,321905.12,38958.03,30,3.93,married,1,family,25,1,1,23168.7,0
6373,Applicant_32,2023-05-20,42,76861.68,employed,748,0.26,415052.39,736664.25,92800.72,25,3.62,married,2,rent,8,0,0,24021.85,0
6374,Applicant_32,2023-05-21,65,51482.75,retired,768,0.42,162703.56,246774.82,67800.67,20,4.2,single,2,rent,11,0,0,24941.03,0
6375,Applicant_32,2023-05-22,41,16395.51,retired,680,0.41,150804.88,246373.5,38982.22,20,3.27,single,1,own_other,19,0,0,7692.44,0
6376,Applicant_32,2023-05-22,48,32494.23,self-employed,770,0.35,365146.72,578560.8,126962.68,30,3.33,single,2,family,10,0,0,10408.46,1
6377,Applicant_32,2023-05-23,57,58305.84,self-employed,719,0.39,490276.37,911860.21,217838.41,30,3.45,married,3,rent,4,1,0,27096.37,1
6378,Applicant_32,2023-05-24,63,60297.63,employed,747,0.29,270111.1,494587.18,57958.52,30,4.61,single,1,rent,6,0,0,21926.68,1
6379,Applicant_32,2023-05-24,47,49067.25,retired,664,0.31,329315.21,606909.06,115364.13,30,3.21,married,2,rent,22,0,0,13927.42,0
6380,Applicant_32,2023-05-27,34,108160.03,employed,695,0.13,464086.99,721615.21,134828.29,30,4.37,divorced,0,rent,2,0,0,34987.77,1
6381,Applicant_32,2023-05-28,60,19425.57,self-employed,651,0.22,400578.85,743702.64,125284.05,15,4.36,divorced,4,own_other,17,0,0,18406.08,0
6382,Applicant_32,2023-05-29,32,102940.6,employed,775,0.17,303533.88,503134.76,105729.3,25,3.91,married,1,family,10,1,1,25776.02,0
6383,Applicant_32,2023-05-30,49,64438.01,employed,702,0.49,334545.08,507535.68,142314.53,20,5.63,single,0,family,17,1,0,16311.93,1
6384,Applicant_32,2023-05-31,29,92615.79,self-employed,696,0.16,274776.77,368987.56,105799.83,15,5.3,married,1,family,13,0,0,27749.56,0
6385,Applicant_32,2023-05-31,59,83437.02,employed,827,0.22,439395.39,584099.79,59831.2,20,4.53,married,1,rent,4,0,0,28226.43,1
6386,Applicant_32,2023-06-02,42,59660.79,retired,697,0.4,361431.61,478199.12,53653.91,25,3.28,married,2,own_other,13,0,0,14986.55,1
6387,Applicant_32,2023-06-02,27,122328.56,self-employed,537,0.23,435695.75,588142.21,98459.65,30,4.91,divorced,3,rent,14,0,0,31742.33,1
6388,Applicant_32,2023-06-05,40,100149.97,retired,721,0.23,433982.22,849931.23,225381.71,15,3.32,divorced,0,family,27,0,0,34762.04,1
6389,Applicant_32,2023-06-05,39,59316.95,retired,630,0.2,66238.95,94057.89,19353.47,25,5.3,divorced,3,rent,19,0,0,19009.49,0
6390,Applicant_32,2023-06-06,33,55837.02,employed,672,0.44,346478.47,508420.44,149855.32,25,5.64,married,3,rent,23,0,0,24646.3,0
6391,Applicant_32,2023-06-07,29,107651.55,employed,691,0.27,254549.19,333535.76,62660.81,30,5.18,divorced,2,family,23,1,0,25096.18,0
6392,Applicant_32,2023-06-07,51,28336.3,employed,655,0.5,215587.85,340893.73,96555.0,15,4.05,single,0,rent,19,0,0,15720.69,0
6393,Applicant_32,2023-06-08,48,47746.81,retired,586,0.43,422364.43,730416.35,185393.72,30,5.14,single,2,rent,14,0,0,14818.64,1
6394,Applicant_32,2023-06-08,42,43432.01,retired,676,0.2,466281.5,896210.75,207187.41,25,4.95,single,3,own_other,29,1,1,13303.29,1
6395,Applicant_32,2023-06-09,40,50645.83,self-employed,764,0.36,496396.83,670994.14,168780.37,20,4.65,married,1,rent,29,0,0,16313.81,0
6396,Applicant_32,2023-06-09,56,45215.82,employed,668,0.43,133929.78,244550.88,39179.64,25,3.03,single,0,own_other,11,0,0,22407.99,0
6397,Applicant_32,2023-06-11,42,76108.53,self-employed,642,0.39,416035.52,560812.7,75061.39,20,4.5,married,1,own_other,5,1,0,26020.06,0
6398,Applicant_32,2023-06-13,54,59928.49,self-employed,770,0.25,125316.54,152495.22,41584.21,25,3.86,married,3,rent,20,0,0,20554.09,1
6399,Applicant_32,2023-06-13,48,38081.46,retired,665,0.38,321845.91,591640.33,93272.12,20,5.24,married,2,family,12,1,1,14078.34,0
6400,Applicant_32,2023-06-14,56,171445.46,self-employed,850,0.26,398044.27,763168.09,190396.74,25,5.86,single,0,rent,16,1,0,46306.82,1
6401,Applicant_32,2023-06-14,34,40599.28,employed,589,0.31,201099.98,339165.98,41348.35,20,5.29,divorced,1,family,27,1,1,15356.83,0
6402,Applicant_32,2023-06-17,49,33194.74,retired,707,0.48,179333.03,261428.05,71159.12,30,5.01,married,3,family,13,0,0,18468.53,0
6403,Applicant_32,2023-06-18,26,36209.77,self-employed,641,0.43,241906.15,317684.91,82534.48,25,3.24,single,0,family,13,0,0,19641.68,1
6404,Applicant_32,2023-06-18,34,70044.07,self-employed,643,0.28,379633.0,544416.14,111250.49,25,5.47,divorced,2,family,9,0,0,22220.26,1
6405,Applicant_32,2023-06-23,43,30803.95,retired,728,0.49,184214.85,285274.55,67085.58,25,3.67,single,2,own_other,28,1,1,16020.19,1
6406,Applicant_32,2023-06-23,30,51953.13,self-employed,665,0.23,280510.04,405535.75,88921.81,25,5.0,single,1,rent,23,1,0,12506.28,1
6407,Applicant_32,2023-06-24,48,47873.6,retired,699,0.29,488958.77,820514.09,235947.36,15,3.22,divorced,2,own_other,0,0,0,24732.82,0
6408,Applicant_32,2023-06-27,28,31369.03,retired,500,0.27,248548.58,418592.6,51694.97,25,4.4,divorced,0,rent,9,1,0,7782.46,1
6409,Applicant_32,2023-06-28,25,19216.33,retired,587,0.27,119811.25,222272.71,54609.63,20,3.48,divorced,0,family,25,0,0,16487.73,1
6410,Applicant_32,2023-06-28,56,40793.04,self-employed,702,0.37,456635.42,712229.82,143017.36,30,3.96,single,4,rent,11,1,0,17027.05,1
6411,Applicant_32,2023-06-30,36,53489.15,retired,588,0.37,184229.73,311893.05,77325.88,20,4.78,married,1,rent,8,0,0,16284.81,0
6412,Applicant_32,2023-07-01,50,31688.57,employed,675,0.5,179804.99,335516.87,91094.45,30,4.11,divorced,3,family,23,0,0,9082.48,1
6413,Applicant_32,2023-07-02,57,120801.95,self-employed,733,0.23,225715.33,364635.75,62900.52,25,4.37,single,2,rent,21,1,1,37621.48,0
6414,Applicant_32,2023-07-02,61,95596.15,self-employed,789,0.12,212188.58,288032.1,64521.55,20,5.45,divorced,0,family,16,0,0,34518.07,1
6415,Applicant_32,2023-07-03,27,37110.7,self-employed,570,0.46,176180.4,350763.11,52705.31,25,5.76,divorced,0,family,26,0,0,28112.99,0
6416,Applicant_32,2023-07-04,28,101421.09,self-employed,659,0.12,295783.19,401622.41,75815.35,20,5.04,single,2,own_other,27,0,0,29441.45,0
6417,Applicant_32,2023-07-04,34,32182.59,self-employed,621,0.23,174021.28,307129.14,36432.23,20,5.25,divorced,2,family,12,0,0,20878.93,1
6418,Applicant_32,2023-07-05,41,38701.46,employed,660,0.45,370941.32,650165.38,137787.81,25,4.62,single,3,rent,2,0,0,13888.19,1
6419,Applicant_32,2023-07-07,44,37938.77,employed,619,0.47,409082.5,565453.32,138617.03,15,3.83,divorced,0,own_other,15,0,0,23273.62,1
6420,Applicant_32,2023-07-07,52,79736.67,employed,745,0.38,64526.15,123036.24,13112.83,15,3.34,single,0,own_other,2,0,0,30488.43,1
6421,Applicant_32,2023-07-08,57,41679.5,retired,768,0.36,458760.7,803153.33,127208.45,30,3.0,divorced,1,own_other,1,0,0,19647.53,1
6422,Applicant_32,2023-07-10,26,75546.1,employed,671,0.43,97297.16,158935.88,26229.84,20,4.18,married,1,family,24,0,0,20603.76,0
6423,Applicant_32,2023-07-12,33,87326.15,retired,637,0.11,219542.61,284405.15,49698.61,20,5.3,divorced,3,own_other,29,0,0,16952.65,0
6424,Applicant_32,2023-07-12,36,59407.75,self-employed,710,0.24,99370.51,188058.84,52797.36,15,5.38,single,0,family,21,1,1,23391.96,0
6425,Applicant_32,2023-07-14,41,20045.95,employed,575,0.3,438396.12,787683.12,112046.79,15,5.31,divorced,4,family,20,0,0,19209.51,0
6426,Applicant_32,2023-07-17,45,58273.93,self-employed,731,0.5,222945.43,416489.65,88645.08,30,4.52,divorced,3,family,4,1,0,28827.77,0
6427,Applicant_32,2023-07-17,30,23237.34,self-employed,648,0.39,362409.27,509736.09,89913.51,20,3.55,married,1,family,22,0,0,10838.43,0
6428,Applicant_33,2023-01-01,33,25797.07,retired,602,0.26,484272.7,776167.09,177192.72,30,4.15,divorced,1,own_other,11,1,1,14353.3,0
6429,Applicant_33,2023-01-01,52,69767.38,employed,760,0.44,471368.3,726327.47,122511.75,25,3.89,divorced,2,own_other,5,1,0,26874.63,1
6430,Applicant_33,2023-01-03,42,33128.88,employed,806,0.26,235872.22,384094.18,97758.56,15,5.63,single,0,family,22,1,1,21882.04,0
6431,Applicant_33,2023-01-03,40,48513.48,retired,677,0.5,64540.77,87271.52,16589.39,25,4.0,married,0,rent,15,1,0,24441.35,1
6432,Applicant_33,2023-01-04,36,46603.72,self-employed,647,0.21,150704.35,300683.52,87698.07,25,4.59,divorced,1,rent,23,1,0,10916.85,1
6433,Applicant_33,2023-01-04,34,65701.41,self-employed,634,0.26,469954.39,884417.4,165605.51,20,4.14,married,3,rent,9,1,0,28171.46,1
6434,Applicant_33,2023-01-07,45,84326.56,retired,755,0.25,480152.16,810018.38,131955.31,15,3.62,divorced,0,rent,0,0,0,26541.48,0
6435,Applicant_33,2023-01-07,35,60076.21,retired,616,0.48,267190.78,449918.75,91122.98,25,5.31,married,2,family,5,0,0,28066.5,1
6436,Applicant_33,2023-01-08,55,53769.7,self-employed,673,0.24,443129.5,727158.18,75179.47,20,4.5,single,2,family,30,0,0,20702.13,1
6437,Applicant_33,2023-01-09,40,69393.03,employed,731,0.42,219977.68,405048.68,50456.22,30,5.0,single,1,family,2,1,0,16723.9,1
6438,Applicant_33,2023-01-09,65,128950.45,retired,691,0.3,74642.78,117479.85,32785.27,25,3.0,single,3,own_other,21,0,0,46545.21,1
6439,Applicant_33,2023-01-11,25,100226.82,employed,660,0.27,104917.44,129706.1,27147.97,25,4.75,single,3,family,0,1,0,28608.84,1
6440,Applicant_33,2023-01-12,34,54459.69,retired,656,0.2,90793.43,136117.46,18816.67,25,5.95,single,0,family,26,1,0,22817.97,1
6441,Applicant_33,2023-01-12,36,198195.64,retired,807,0.26,137192.83,252118.22,48664.4,30,5.44,single,3,rent,27,0,0,44845.11,0
6442,Applicant_33,2023-01-14,62,86711.08,self-employed,803,0.18,341442.74,628282.58,141623.54,25,5.72,divorced,0,family,29,1,0,24615.85,1
6443,Applicant_33,2023-01-15,60,49860.01,self-employed,749,0.25,460130.04,733939.03,108025.59,15,5.25,married,1,own_other,7,0,0,7831.41,1
6444,Applicant_33,2023-01-16,42,46011.67,employed,710,0.4,341416.05,600382.09,114171.25,20,5.88,single,2,own_other,22,1,1,19090.28,0
6445,Applicant_33,2023-01-18,33,39230.11,retired,613,0.33,472333.7,776778.63,80880.07,20,4.42,divorced,0,own_other,8,0,0,28876.08,0
6446,Applicant_33,2023-01-18,39,35362.73,employed,699,0.23,264272.96,322097.25,40542.13,30,5.71,single,0,family,27,1,1,13225.98,1
6447,Applicant_33,2023-01-21,59,166121.3,self-employed,850,0.14,278790.32,369015.15,65544.73,15,3.14,divorced,1,rent,23,0,0,45250.71,1
6448,Applicant_33,2023-01-22,48,106119.88,self-employed,752,0.28,280899.58,504988.75,73789.13,30,3.47,single,4,own_other,15,0,0,42325.74,1
6449,Applicant_33,2023-01-22,38,37711.96,employed,730,0.27,400428.02,668994.19,93310.81,20,3.21,married,4,own_other,5,0,0,20140.79,0
6450,Applicant_33,2023-01-23,62,57404.97,retired,757,0.48,428509.99,835744.13,140134.67,15,5.89,married,0,family,23,1,0,17398.52,1
6451,Applicant_33,2023-01-25,61,73048.49,self-employed,807,0.27,404078.97,537888.46,155257.95,15,5.2,divorced,0,family,22,1,0,16109.37,1
6452,Applicant_33,2023-01-29,63,65651.72,retired,847,0.26,200032.58,246701.31,27100.83,15,3.3,single,1,rent,7,1,0,26533.1,1
6453,Applicant_33,2023-01-30,26,82540.61,employed,743,0.22,152028.24,215990.41,62953.69,15,5.97,married,4,rent,14,0,0,22290.17,1
6454,Applicant_33,2023-01-30,57,47222.15,employed,785,0.3,466365.93,784825.68,187515.77,25,5.38,married,4,own_other,19,0,0,28425.17,1
6455,Applicant_33,2023-01-31,32,36615.78,employed,569,0.35,120357.31,152065.19,38409.72,30,4.74,divorced,4,rent,8,1,1,17418.38,0
6456,Applicant_33,2023-02-02,56,108322.89,retired,708,0.24,451172.23,859175.0,242636.94,20,3.65,divorced,1,rent,5,1,0,32300.11,1
6457,Applicant_33,2023-02-04,28,130767.92,self-employed,691,0.18,434023.7,721358.64,153917.34,15,3.98,single,0,own_other,29,1,0,33166.31,0
6458,Applicant_33,2023-02-04,31,88043.64,employed,696,0.23,331832.85,512197.84,54066.77,25,5.65,single,0,rent,15,1,0,26917.37,1
6459,Applicant_33,2023-02-05,37,82551.83,self-employed,618,0.25,392238.34,771994.62,182545.01,20,5.23,married,2,family,6,1,1,29728.56,0
6460,Applicant_33,2023-02-05,41,49227.16,retired,666,0.49,93153.77,159143.13,21620.9,25,3.55,divorced,0,own_other,24,1,1,18602.55,0
6461,Applicant_33,2023-02-07,64,48430.91,self-employed,755,0.35,424161.83,618378.94,159448.11,25,3.76,married,1,family,17,0,0,23489.03,1
6462,Applicant_33,2023-02-07,30,60882.55,self-employed,581,0.23,103509.52,138996.22,26954.99,20,3.89,married,1,family,27,0,0,11500.04,0
6463,Applicant_33,2023-02-09,45,32855.53,employed,700,0.22,252141.28,387289.02,82645.45,20,5.88,single,0,own_other,3,0,0,18726.42,0
6464,Applicant_33,2023-02-10,54,40627.11,self-employed,713,0.38,144215.81,176831.03,51144.03,30,3.17,married,3,family,1,0,0,16233.41,0
6465,Applicant_33,2023-02-11,26,62121.03,employed,747,0.45,394845.09,737227.81,131419.74,15,5.01,single,2,own_other,0,1,0,26536.01,1
6466,Applicant_33,2023-02-11,39,62681.71,employed,756,0.32,164028.68,326253.01,35316.02,25,3.8,single,4,own_other,4,1,1,22173.53,0
6467,Applicant_33,2023-02-12,43,106458.57,employed,728,0.12,234911.52,417642.52,101188.69,15,3.61,married,3,rent,2,0,0,39633.27,1
6468,Applicant_33,2023-02-12,42,76058.06,employed,732,0.33,452347.57,805703.84,130619.81,25,4.11,married,1,family,19,1,1,32659.85,1
6469,Applicant_33,2023-02-14,34,73041.32,retired,666,0.31,80955.57,105158.36,26547.51,30,4.77,married,4,own_other,2,1,1,21145.06,0
6470,Applicant_33,2023-02-14,60,32837.06,self-employed,656,0.21,331541.65,620687.71,85232.8,30,5.53,divorced,2,family,22,0,0,22314.5,1
6471,Applicant_33,2023-02-15,56,45614.36,self-employed,681,0.25,262596.76,370963.71,83751.79,30,3.83,divorced,1,family,27,1,0,22295.36,1
6472,Applicant_33,2023-02-15,38,42214.85,employed,573,0.49,136695.5,209722.57,49471.74,30,5.92,married,4,rent,22,1,1,10534.46,0
6473,Applicant_33,2023-02-16,31,87772.07,employed,678,0.16,104507.49,170664.95,32755.99,25,4.69,married,3,rent,9,1,1,19490.23,1
6474,Applicant_33,2023-02-16,31,27649.09,self-employed,735,0.27,409148.3,587193.56,140553.01,15,5.92,married,2,own_other,28,1,1,21693.74,0
6475,Applicant_33,2023-02-18,63,59359.45,employed,826,0.2,198704.39,354351.11,61485.22,15,4.12,divorced,3,rent,21,1,0,28443.62,1
6476,Applicant_33,2023-02-21,36,73232.27,employed,710,0.39,173743.72,305682.2,40910.9,30,4.58,married,1,rent,7,1,0,23808.18,1
