client_id,age,income,credit_score,debt_to_income_ratio,num_bank_products,tenure_years,digital_usage_score,satisfaction_score,previous_insurance,family_size,employment_stability,region,marketing_exposure,complaints,life_events,buy_insurance
1942,52,65719,842,0.47,1,14,3,4,0,2,Unstable,Urban,3,1,Marriage,1
1943,49,61008,670,0.11,1,11,5,2,0,2,Stable,Urban,2,1,Home Purchase,0
1944,56,20000,780,0.14,1,11,4,6,0,2,Stable,Urban,4,1,Home Purchase,0
1945,34,79366,678,0.15,4,6,6,5,1,2,Stable,Urban,1,0,Home Purchase,0
1946,66,97159,556,0.22,4,1,7,5,1,1,Unstable,Suburban,3,2,Home Purchase,0
1947,64,32156,699,0.31,3,8,9,8,0,5,Unstable,Urban,2,2,Marriage,0
1948,57,93625,553,0.5,5,8,5,6,0,4,Stable,Rural,1,0,Child Birth,0
1949,37,88286,723,0.28,4,18,2,1,0,5,Stable,Rural,4,2,Home Purchase,0
1950,65,31420,780,0.11,5,13,4,1,0,2,Stable,Urban,3,1,None,1
1951,66,50146,678,0.34,4,14,2,5,1,1,Unstable,Urban,3,1,Marriage,0
1952,61,25114,723,0.6,2,15,1,3,0,1,Unstable,Urban,4,0,Child Birth,0
1953,40,58371,721,0.27,2,4,2,8,0,5,Unstable,Suburban,3,2,Home Purchase,0
1954,69,71207,784,0.58,1,19,7,2,0,3,Unstable,Urban,4,2,None,0
1955,46,26988,708,0.15,5,13,2,5,0,4,Unstable,Suburban,3,2,Home Purchase,0
1956,44,69645,668,0.19,1,9,4,6,0,1,Stable,Urban,4,2,Marriage,0
1957,67,75978,779,0.46,1,16,5,3,0,2,Stable,Suburban,3,1,None,0
1958,51,76336,715,0.35,4,9,3,8,1,3,Stable,Suburban,0,2,None,0
1959,65,71362,486,0.48,4,2,4,8,0,4,Unstable,Urban,0,2,Child Birth,0
1960,40,29287,664,0.53,1,10,3,6,1,2,Stable,Urban,2,1,Home Purchase,0
1961,58,56963,648,0.23,4,7,8,9,0,5,Unstable,Urban,2,2,None,0
1962,56,68808,714,0.44,2,9,8,3,0,1,Stable,Urban,4,1,Marriage,0
1963,50,96525,703,0.4,2,8,3,3,0,5,Stable,Suburban,0,0,Home Purchase,1
1964,49,60061,504,0.53,5,19,9,8,1,3,Unstable,Urban,2,1,Marriage,0
1965,26,70638,550,0.32,2,1,9,4,0,1,Stable,Rural,4,1,Home Purchase,1
1966,36,36699,604,0.13,1,1,7,1,0,2,Unstable,Rural,3,1,Child Birth,1
1967,64,31127,706,0.39,3,8,1,8,1,3,Unstable,Urban,0,1,None,0
1968,33,27923,807,0.58,4,4,3,8,0,4,Unstable,Suburban,4,0,Home Purchase,0
1969,36,49493,539,0.11,1,4,8,5,0,2,Unstable,Rural,4,0,Marriage,0
1970,50,111551,632,0.22,4,15,6,2,0,4,Stable,Suburban,1,0,Marriage,1
1971,33,49948,695,0.26,5,2,9,7,0,1,Stable,Urban,2,0,None,0
1972,34,69115,606,0.48,1,17,9,4,0,4,Unstable,Urban,4,0,Marriage,1
1973,56,73927,708,0.26,1,8,1,8,0,1,Unstable,Urban,4,1,Child Birth,1
1974,58,32711,764,0.22,1,16,6,6,0,4,Unstable,Rural,2,1,None,0
1975,44,49122,624,0.42,5,6,3,7,1,5,Stable,Urban,1,2,Home Purchase,0
1976,63,75610,732,0.12,1,1,5,2,0,5,Stable,Suburban,2,0,Child Birth,1
1977,26,70708,688,0.19,4,5,1,5,0,3,Stable,Suburban,1,2,None,0
1978,25,20000,585,0.3,3,19,7,4,1,4,Unstable,Suburban,1,1,None,0
1979,60,74860,685,0.28,1,18,6,3,0,1,Stable,Urban,0,1,Home Purchase,0
1980,48,46225,745,0.27,5,3,5,7,1,2,Stable,Suburban,0,0,Marriage,0
1981,51,46879,841,0.15,5,2,2,1,1,1,Stable,Rural,4,1,Child Birth,1
1982,26,70121,850,0.28,1,2,8,6,0,5,Stable,Rural,4,2,None,0
1983,55,98073,643,0.5,5,1,5,3,1,2,Unstable,Suburban,4,1,Home Purchase,0
1984,38,54989,637,0.31,2,3,2,7,0,4,Stable,Rural,0,1,Child Birth,0
1985,26,89476,704,0.39,5,19,4,9,0,5,Unstable,Suburban,0,2,Marriage,1
1986,53,23976,645,0.18,3,4,8,3,0,4,Unstable,Rural,2,0,None,0
1987,39,63268,821,0.13,2,3,8,1,1,5,Unstable,Rural,4,2,Home Purchase,1
1988,36,46473,710,0.54,4,8,3,3,0,4,Unstable,Urban,2,0,Child Birth,1
1989,61,67050,705,0.27,2,12,8,9,1,5,Stable,Suburban,2,0,None,1
1990,52,52592,764,0.28,3,4,9,4,0,3,Stable,Suburban,0,0,Marriage,1
1991,44,26473,715,0.54,2,14,2,3,0,1,Stable,Rural,2,1,Child Birth,0
1992,63,37814,730,0.45,1,10,6,7,0,1,Stable,Rural,0,2,None,1
1993,48,20000,726,0.48,5,17,3,7,0,4,Unstable,Urban,0,1,None,0
1994,45,27327,685,0.44,1,18,5,4,0,4,Unstable,Suburban,0,2,Marriage,0
1995,34,72008,609,0.15,1,7,4,9,0,2,Unstable,Urban,3,1,Marriage,0
1996,38,53724,850,0.58,1,13,8,9,1,2,Unstable,Rural,0,0,None,1
1997,61,65771,609,0.55,2,13,7,2,0,1,Stable,Rural,4,2,Marriage,0
1998,42,105389,850,0.22,4,2,7,7,0,1,Unstable,Urban,1,2,Marriage,1
1999,48,52600,734,0.5,5,8,1,8,0,3,Stable,Rural,2,2,Child Birth,0
2000,38,75857,639,0.3,2,11,6,8,0,4,Unstable,Rural,4,1,Marriage,0
2001,58,60703,755,0.44,1,2,2,1,0,4,Unstable,Suburban,0,0,Marriage,0
2002,36,129067,778,0.18,3,12,8,2,1,1,Stable,Rural,4,2,Child Birth,0
2003,46,20000,850,0.37,3,5,6,8,1,4,Unstable,Suburban,4,0,Home Purchase,1
2004,30,42058,568,0.16,1,16,9,7,1,2,Unstable,Rural,4,1,Marriage,0
2005,60,76350,685,0.37,4,1,1,7,0,4,Stable,Suburban,3,2,Marriage,0
2006,69,41177,837,0.22,5,12,8,1,0,2,Unstable,Rural,1,1,Marriage,0
2007,60,74151,774,0.33,2,5,2,2,0,5,Stable,Suburban,3,1,None,0
2008,46,58498,748,0.43,4,1,7,2,0,4,Stable,Suburban,0,2,Child Birth,0
2009,38,81623,847,0.54,3,3,3,3,1,5,Stable,Suburban,4,1,Home Purchase,1
2010,40,31696,682,0.18,1,4,7,3,0,1,Unstable,Suburban,1,2,None,1
2011,60,64321,460,0.55,2,9,1,3,0,4,Unstable,Urban,4,1,Child Birth,0
2012,49,71650,663,0.3,4,17,9,4,1,3,Stable,Suburban,0,1,Marriage,0
2013,56,63294,850,0.52,4,12,6,4,0,3,Stable,Rural,2,2,Home Purchase,0
2014,57,63735,729,0.36,4,19,7,9,0,5,Stable,Urban,2,0,Marriage,1
2015,69,90060,615,0.53,2,3,9,3,1,3,Unstable,Rural,1,1,Home Purchase,0
2016,60,20000,833,0.43,5,10,1,3,1,2,Unstable,Rural,4,0,Home Purchase,1
2017,44,63124,784,0.35,2,8,8,9,0,1,Unstable,Urban,4,1,None,0
2018,42,29771,714,0.26,1,3,7,4,0,2,Unstable,Suburban,4,0,Child Birth,0
2019,62,78940,758,0.58,2,11,2,6,0,1,Stable,Urban,2,0,Child Birth,1
2020,27,39051,598,0.5,4,15,1,5,0,3,Unstable,Rural,3,2,Child Birth,0
2021,47,20000,663,0.29,5,12,1,3,1,1,Unstable,Urban,2,0,None,0
2022,56,79536,693,0.18,5,3,4,8,1,2,Stable,Suburban,4,1,None,0
2023,69,53290,809,0.49,1,7,5,5,1,5,Unstable,Suburban,2,0,None,0
2024,40,68915,645,0.59,1,1,7,8,1,5,Unstable,Urban,3,1,Home Purchase,1
2025,29,95675,697,0.24,3,10,8,6,0,4,Unstable,Rural,2,2,Marriage,0
2026,28,69285,844,0.56,3,17,2,9,1,2,Unstable,Suburban,3,2,None,0
2027,45,64235,850,0.16,3,6,9,2,1,2,Stable,Suburban,2,1,Child Birth,1
2028,64,58818,612,0.58,2,19,7,7,0,5,Stable,Rural,0,2,Child Birth,0
2029,38,31317,713,0.47,5,12,6,4,0,3,Stable,Urban,2,1,Child Birth,0
2030,63,54618,549,0.27,1,2,8,7,0,5,Stable,Suburban,0,0,None,0
2031,55,109347,698,0.25,3,12,2,9,0,4,Unstable,Rural,3,0,None,0
2032,38,50619,670,0.42,1,19,1,1,0,4,Unstable,Urban,0,1,Marriage,0
2033,30,56099,825,0.4,3,9,5,5,0,2,Unstable,Rural,3,0,Child Birth,0
2034,36,91427,582,0.56,2,6,9,6,0,2,Unstable,Rural,1,2,Child Birth,1
2035,40,21467,569,0.48,2,17,7,4,0,4,Stable,Rural,1,1,Child Birth,0
2036,41,75503,850,0.37,4,2,7,6,1,2,Stable,Urban,3,0,None,0
2037,69,20278,636,0.56,1,7,9,1,1,1,Stable,Urban,2,0,Marriage,1
2038,47,69979,719,0.4,4,6,5,8,0,4,Stable,Rural,0,2,Marriage,0
2039,38,59439,729,0.52,2,14,5,6,1,4,Stable,Urban,4,1,Marriage,0
2040,31,75310,621,0.52,2,17,7,4,1,2,Unstable,Rural,2,2,Home Purchase,0
2041,56,34688,621,0.56,1,18,6,5,1,1,Unstable,Urban,0,0,Child Birth,0
2042,39,46624,812,0.13,4,6,6,8,0,4,Stable,Rural,3,0,None,1
2043,68,76601,767,0.39,4,12,8,2,1,1,Stable,Suburban,3,1,Marriage,0
2044,41,47254,698,0.33,4,6,4,4,1,4,Stable,Rural,3,1,Home Purchase,0
2045,65,78887,686,0.35,1,14,2,7,0,1,Stable,Urban,2,0,Child Birth,0
2046,68,65229,731,0.33,1,13,3,2,1,5,Unstable,Suburban,2,1,None,0
2047,58,48856,738,0.52,1,9,4,6,0,4,Stable,Suburban,0,1,Marriage,1
2048,29,52116,826,0.26,5,18,5,9,0,1,Unstable,Rural,1,2,Child Birth,0
2049,69,60087,697,0.33,2,10,2,2,1,5,Stable,Suburban,3,0,Marriage,0
2050,51,54495,744,0.2,5,10,8,4,0,2,Unstable,Suburban,2,1,Marriage,1
2051,47,78256,771,0.23,5,14,5,5,0,3,Unstable,Rural,4,0,None,0
2052,64,50718,773,0.43,2,9,7,8,0,1,Unstable,Suburban,1,0,Marriage,0
2053,38,45674,844,0.16,3,9,9,5,0,5,Unstable,Rural,0,1,Home Purchase,0
2054,39,82756,698,0.19,3,9,7,5,0,4,Unstable,Suburban,3,1,None,0
2055,67,49446,643,0.36,3,3,4,9,1,5,Stable,Urban,1,1,Marriage,0
2056,57,46490,664,0.12,1,9,3,6,0,3,Stable,Rural,4,2,Marriage,0
2057,55,20000,764,0.16,1,13,8,5,0,3,Unstable,Urban,2,1,Home Purchase,0
2058,59,34012,689,0.53,4,10,9,3,0,3,Stable,Urban,1,2,None,0
2059,41,39034,850,0.52,4,3,5,1,0,2,Unstable,Rural,2,2,None,1
2060,52,46496,701,0.27,5,4,6,6,0,1,Unstable,Suburban,2,1,Child Birth,1
2061,43,41946,604,0.27,4,14,6,9,0,4,Unstable,Rural,2,1,Marriage,1
2062,47,84576,732,0.57,1,13,3,4,1,1,Stable,Suburban,2,1,Marriage,1
2063,56,40621,850,0.11,5,7,4,8,0,1,Unstable,Rural,4,0,Child Birth,1
2064,64,42484,618,0.39,4,7,9,2,0,2,Unstable,Rural,2,0,Home Purchase,1
2065,37,63891,615,0.4,4,6,6,2,1,4,Stable,Urban,3,0,None,0
2066,44,32457,681,0.49,3,8,5,4,1,2,Stable,Rural,4,2,Home Purchase,0
2067,59,99099,635,0.58,1,6,9,2,0,4,Unstable,Urban,4,1,Home Purchase,0
2068,29,80053,564,0.28,5,4,8,6,0,5,Stable,Urban,0,2,Child Birth,1
2069,33,30797,545,0.32,2,5,9,8,1,4,Unstable,Urban,2,0,Home Purchase,1
2070,53,85341,723,0.44,4,18,9,3,1,2,Stable,Urban,1,0,Home Purchase,1
2071,30,90542,771,0.58,1,2,4,3,0,5,Unstable,Rural,4,2,Home Purchase,0
2072,49,31447,629,0.55,5,14,8,4,0,4,Unstable,Urban,0,1,None,0
2073,55,30870,692,0.43,1,14,9,5,0,3,Stable,Suburban,1,1,Child Birth,0
2074,46,44739,718,0.53,1,5,5,3,1,2,Stable,Suburban,1,0,None,0
2075,26,24619,589,0.14,5,11,4,6,1,5,Stable,Urban,4,2,Marriage,0
2076,69,40492,785,0.29,3,3,1,5,0,3,Stable,Suburban,1,2,Marriage,0
2077,29,49996,721,0.11,3,16,3,8,0,5,Stable,Suburban,2,0,None,1
2078,51,72603,752,0.19,4,8,2,4,1,4,Unstable,Suburban,2,0,None,0
2079,49,62030,767,0.42,3,15,7,6,1,4,Unstable,Urban,1,0,Child Birth,1
2080,32,56299,850,0.54,4,14,4,9,0,5,Unstable,Suburban,2,2,Child Birth,0
2081,25,47920,597,0.42,4,14,9,6,1,5,Unstable,Rural,2,0,Marriage,0
2082,44,27301,610,0.43,5,8,9,5,0,4,Stable,Rural,4,0,Child Birth,0
2083,68,74792,850,0.15,1,1,2,8,0,1,Stable,Suburban,0,0,Child Birth,1
2084,47,74234,765,0.43,2,16,3,4,0,5,Stable,Rural,1,1,Child Birth,0
2085,56,44578,706,0.33,2,12,8,6,0,1,Stable,Rural,2,1,Marriage,0
2086,35,32471,652,0.43,3,14,3,7,0,4,Unstable,Rural,3,2,Home Purchase,1
2087,63,98902,676,0.26,5,9,4,6,0,3,Stable,Urban,0,2,Child Birth,0
2088,48,66168,678,0.39,2,14,3,8,1,3,Unstable,Urban,3,0,Marriage,1
2089,35,69924,550,0.31,1,13,2,2,0,2,Stable,Suburban,1,1,Home Purchase,0
2090,53,71003,797,0.38,4,19,1,5,1,2,Unstable,Rural,4,1,Home Purchase,1
2091,50,29937,498,0.17,4,16,3,3,0,4,Unstable,Rural,4,0,Child Birth,0
2092,40,97481,615,0.3,5,19,9,4,1,5,Unstable,Urban,0,1,Marriage,0
2093,59,49912,656,0.29,3,17,8,8,1,3,Stable,Urban,1,2,Child Birth,1
2094,44,80551,850,0.47,1,5,9,2,0,5,Unstable,Suburban,2,0,None,1
2095,27,96460,689,0.45,3,3,5,9,1,1,Stable,Suburban,1,1,Child Birth,0
2096,25,62034,731,0.55,3,1,5,7,0,4,Stable,Suburban,4,1,Home Purchase,1
2097,25,30463,612,0.42,5,7,8,1,0,2,Stable,Suburban,3,0,Child Birth,0
2098,41,20000,786,0.26,4,7,5,3,1,4,Unstable,Urban,2,1,Home Purchase,0
2099,26,59039,850,0.49,3,17,4,8,0,2,Stable,Urban,3,2,Home Purchase,0
2100,53,66253,749,0.35,3,7,9,2,1,4,Unstable,Rural,3,2,None,1
2101,44,45480,666,0.2,1,13,1,7,0,4,Stable,Urban,3,1,Child Birth,0
2102,30,63392,496,0.47,4,13,6,1,1,2,Unstable,Urban,2,0,None,0
2103,32,70758,769,0.17,3,10,7,3,0,1,Stable,Rural,4,0,Home Purchase,1
2104,53,84848,601,0.19,2,2,6,2,0,4,Stable,Rural,4,0,None,0
2105,57,54285,624,0.48,2,6,8,2,0,3,Stable,Rural,0,2,Home Purchase,0
2106,27,58866,793,0.49,4,7,8,2,1,4,Unstable,Rural,3,2,Home Purchase,1
2107,59,55534,652,0.5,4,13,5,4,1,5,Stable,Urban,3,1,Home Purchase,1
2108,29,60839,690,0.25,5,8,4,6,0,3,Unstable,Rural,0,2,Child Birth,0
2109,51,47170,774,0.53,3,13,7,1,0,5,Stable,Rural,2,0,Home Purchase,0
2110,68,47050,629,0.46,2,11,9,7,0,2,Stable,Rural,0,1,Marriage,0
2111,36,48624,571,0.52,2,10,2,7,1,2,Stable,Urban,1,2,Child Birth,0
2112,44,63906,746,0.45,4,4,7,1,1,2,Stable,Rural,2,0,None,1
2113,69,38817,775,0.39,4,10,6,9,0,5,Unstable,Suburban,1,2,Home Purchase,0
2114,44,48725,642,0.15,1,17,3,8,0,2,Stable,Rural,1,0,Home Purchase,1
2115,33,105214,637,0.46,1,8,2,2,1,3,Stable,Urban,3,0,None,0
2116,63,82409,589,0.45,4,5,1,7,0,2,Stable,Rural,2,1,None,1
2117,28,36072,771,0.26,1,15,2,2,1,4,Stable,Rural,0,1,Child Birth,1
2118,43,81616,850,0.47,4,10,5,4,0,5,Unstable,Rural,4,0,None,1
2119,62,75684,793,0.38,4,19,1,5,1,5,Stable,Rural,3,0,None,0
2120,51,57402,690,0.38,5,18,8,3,0,5,Unstable,Urban,4,2,Child Birth,0
2121,69,42300,771,0.28,1,12,4,7,0,5,Unstable,Urban,3,2,Marriage,0
2122,67,39462,616,0.16,3,2,3,7,0,1,Unstable,Rural,1,1,Child Birth,0
2123,37,65596,736,0.21,3,7,2,6,1,2,Unstable,Rural,4,2,Child Birth,1
2124,37,38844,591,0.48,5,11,1,7,0,4,Unstable,Urban,2,1,Marriage,0
2125,46,87430,687,0.24,3,15,8,3,0,4,Unstable,Suburban,2,1,Home Purchase,0
2126,52,94520,807,0.1,3,12,9,7,1,5,Unstable,Rural,2,1,Child Birth,0
2127,69,58929,781,0.6,5,10,3,7,0,4,Stable,Rural,2,2,None,0
2128,46,88469,756,0.21,2,13,3,9,1,2,Unstable,Urban,3,1,Marriage,0
2129,67,49711,741,0.43,5,2,9,2,0,3,Stable,Rural,2,1,Child Birth,0
2130,43,42141,626,0.56,5,15,7,3,0,4,Stable,Suburban,4,2,None,1
2131,32,87506,714,0.4,1,8,9,4,0,1,Stable,Suburban,1,2,None,0
2132,32,99496,778,0.5,3,6,2,8,0,5,Unstable,Urban,4,1,None,1
2133,66,109078,675,0.59,3,4,7,1,0,3,Stable,Suburban,0,1,None,0
2134,50,68316,679,0.53,2,8,8,2,0,3,Stable,Suburban,0,0,Marriage,0
2135,50,81552,652,0.38,5,5,4,2,1,5,Unstable,Urban,2,2,Home Purchase,0
2136,47,67765,671,0.28,4,8,4,2,0,5,Unstable,Rural,2,0,None,0
2137,67,95084,622,0.34,2,14,2,2,0,4,Stable,Urban,2,0,None,0
2138,37,70832,702,0.52,2,17,2,7,1,5,Unstable,Rural,0,2,Home Purchase,1
2139,52,80127,667,0.53,3,2,4,6,0,1,Unstable,Urban,4,0,Marriage,0
2140,33,31614,552,0.52,3,19,4,7,0,2,Unstable,Urban,2,2,Home Purchase,1
2141,44,54220,850,0.4,3,4,5,6,1,3,Stable,Urban,3,0,Home Purchase,0
2142,43,80340,596,0.34,3,14,9,1,1,5,Stable,Rural,0,2,None,0
2143,63,78099,686,0.26,2,7,9,6,1,4,Stable,Rural,4,0,None,0
2144,36,82472,706,0.1,5,16,7,4,1,5,Unstable,Urban,0,2,Child Birth,1
2145,39,63016,646,0.48,3,10,6,9,0,1,Stable,Suburban,3,1,Home Purchase,0
2146,55,43699,691,0.24,1,11,5,6,0,5,Unstable,Rural,3,0,None,0
2147,38,58526,618,0.26,2,5,4,9,0,1,Stable,Urban,4,2,Marriage,0
2148,35,61175,772,0.52,4,12,2,8,0,5,Unstable,Rural,1,1,Child Birth,0
2149,50,66043,697,0.13,4,15,4,5,0,2,Unstable,Suburban,2,2,Child Birth,0
2150,66,35803,771,0.56,5,10,7,7,0,4,Stable,Rural,3,2,None,0
2151,51,53353,846,0.1,2,2,1,8,0,1,Unstable,Urban,1,0,Child Birth,1
2152,35,57783,671,0.57,2,18,3,5,0,5,Unstable,Suburban,2,1,Marriage,0
2153,62,20000,777,0.33,2,11,4,8,0,3,Unstable,Suburban,1,1,Home Purchase,0
2154,58,80812,850,0.15,1,5,7,9,0,1,Unstable,Rural,3,1,Home Purchase,0
2155,67,64100,687,0.44,1,6,3,5,1,2,Unstable,Urban,4,1,Home Purchase,0
2156,43,66632,769,0.55,3,13,4,8,0,2,Unstable,Suburban,3,2,Marriage,0
2157,30,47112,653,0.32,4,17,1,9,0,3,Stable,Suburban,3,1,Home Purchase,0
2158,62,74656,819,0.45,1,16,1,1,0,5,Unstable,Urban,2,2,Marriage,0
2159,66,39201,650,0.59,4,1,3,7,0,5,Stable,Urban,0,1,Home Purchase,0
2160,52,43129,770,0.22,2,13,7,7,1,5,Unstable,Suburban,4,1,Child Birth,0
2161,25,75708,799,0.51,1,10,6,2,0,5,Unstable,Urban,2,0,None,0
2162,59,68929,582,0.25,4,13,5,2,1,5,Unstable,Suburban,3,1,None,1
2163,64,28059,633,0.31,1,18,8,8,0,3,Unstable,Urban,4,0,Marriage,0
2164,32,99434,629,0.24,2,18,8,7,1,2,Unstable,Urban,0,0,Child Birth,1
2165,31,41037,807,0.32,2,4,4,3,1,3,Stable,Suburban,4,1,Child Birth,0
2166,35,56685,582,0.1,2,3,6,4,1,4,Unstable,Suburban,3,0,None,1
2167,63,103669,732,0.25,3,16,1,3,0,4,Unstable,Suburban,4,1,None,0
2168,28,20000,772,0.32,4,7,9,4,1,1,Unstable,Urban,3,2,Home Purchase,0
2169,49,20000,716,0.42,3,7,5,5,1,5,Unstable,Rural,4,0,Home Purchase,0
2170,36,71048,827,0.42,5,2,8,1,1,2,Stable,Urban,4,0,Child Birth,1
2171,50,20000,507,0.39,5,16,1,6,0,1,Unstable,Suburban,4,1,None,0
2172,62,20000,760,0.25,1,5,4,5,0,4,Stable,Suburban,0,2,Home Purchase,0
2173,36,89378,681,0.57,1,8,2,5,0,1,Unstable,Suburban,3,2,Child Birth,1
2174,67,49778,549,0.3,1,8,2,9,1,4,Unstable,Rural,3,1,Home Purchase,0
2175,61,114902,591,0.21,3,11,2,3,1,4,Stable,Rural,0,2,Home Purchase,0
2176,48,34130,850,0.38,2,10,2,3,0,3,Stable,Rural,3,1,Marriage,1
2177,40,52037,763,0.47,1,1,8,9,1,1,Unstable,Rural,0,2,Home Purchase,0
2178,37,73515,780,0.11,1,6,6,8,1,4,Unstable,Urban,4,2,Marriage,1
2179,49,71788,795,0.24,5,7,9,9,0,2,Unstable,Suburban,0,2,Child Birth,1
2180,28,53627,564,0.51,2,17,2,8,0,4,Stable,Urban,1,2,Child Birth,0
2181,35,43788,724,0.35,3,16,1,7,0,3,Unstable,Urban,3,1,None,0
2182,56,65784,809,0.3,2,14,8,2,1,1,Unstable,Rural,0,1,Home Purchase,0
2183,31,94422,659,0.57,5,3,3,5,0,4,Unstable,Urban,4,1,Home Purchase,0
2184,35,79070,836,0.14,3,9,3,7,1,5,Stable,Urban,1,1,None,0
2185,52,44188,638,0.41,4,10,8,5,0,5,Unstable,Urban,1,0,Child Birth,1
2186,65,35205,712,0.27,1,3,5,1,1,4,Stable,Rural,0,1,Child Birth,0
2187,47,42680,739,0.14,3,12,8,6,0,1,Stable,Urban,4,1,Marriage,0
2188,69,28156,775,0.21,5,4,2,6,0,3,Stable,Suburban,0,0,Marriage,0
2189,47,63685,671,0.41,2,12,9,6,1,2,Stable,Urban,4,1,Marriage,0
2190,52,80344,801,0.11,3,13,2,3,0,1,Unstable,Urban,1,1,Child Birth,1
2191,67,58216,742,0.4,5,7,9,1,0,3,Unstable,Urban,1,2,Marriage,0
2192,50,102994,536,0.58,3,19,6,7,1,4,Unstable,Suburban,3,2,None,0
2193,49,104385,850,0.5,1,18,5,6,0,2,Stable,Rural,4,1,Marriage,0
2194,53,67693,604,0.27,2,18,7,5,0,1,Stable,Suburban,4,0,Marriage,0
2195,43,77548,850,0.17,2,9,7,3,0,4,Stable,Suburban,3,0,Home Purchase,0
2196,57,37488,684,0.33,3,7,4,6,1,2,Stable,Suburban,4,1,None,1
2197,60,50979,665,0.3,5,7,7,9,1,4,Unstable,Urban,1,1,Home Purchase,1
2198,38,91806,739,0.59,1,13,3,8,0,5,Stable,Suburban,0,0,Home Purchase,0
2199,38,45518,630,0.59,1,6,3,8,1,5,Unstable,Rural,3,2,None,0
2200,59,97184,511,0.31,3,7,7,8,0,3,Unstable,Urban,0,0,Home Purchase,0
2201,54,87814,689,0.17,4,13,1,1,0,2,Unstable,Urban,2,2,Child Birth,0
2202,52,78790,737,0.56,3,6,8,7,1,5,Stable,Urban,4,1,Child Birth,1
2203,41,30682,850,0.5,1,17,2,1,0,4,Stable,Suburban,3,0,Marriage,0
2204,27,52200,580,0.36,2,18,1,7,0,3,Stable,Rural,2,2,None,0
2205,40,76105,758,0.28,3,8,6,2,0,5,Stable,Urban,4,1,Home Purchase,0
2206,54,35356,689,0.32,3,18,4,3,1,3,Stable,Urban,0,2,Marriage,0
2207,53,55248,703,0.55,2,15,7,2,1,2,Unstable,Rural,0,0,Child Birth,1
2208,69,78803,797,0.19,3,1,3,1,0,5,Unstable,Rural,3,1,None,0
2209,39,45795,648,0.5,5,1,2,5,0,5,Unstable,Suburban,0,1,None,0
2210,49,38838,716,0.11,2,7,4,8,0,1,Unstable,Rural,0,1,Marriage,1
2211,62,20000,808,0.56,2,16,4,6,0,1,Unstable,Urban,4,2,Marriage,0
2212,66,50334,802,0.35,2,14,4,4,1,2,Stable,Suburban,0,2,None,0
2213,62,79329,577,0.21,1,12,3,1,1,2,Stable,Rural,0,1,Child Birth,0
2214,47,38177,638,0.1,3,5,7,2,1,1,Unstable,Suburban,3,2,Child Birth,0
2215,49,60446,685,0.38,4,7,5,2,0,5,Unstable,Suburban,2,2,None,0
2216,66,54394,781,0.22,3,12,4,3,0,3,Unstable,Rural,0,1,Home Purchase,0
2217,31,43334,674,0.42,3,19,5,2,0,2,Stable,Urban,2,0,Marriage,0
2218,46,80942,708,0.24,1,5,7,4,0,1,Stable,Rural,3,0,None,0
2219,41,101056,825,0.14,5,7,4,4,1,3,Unstable,Suburban,2,2,Marriage,0
2220,42,85108,666,0.35,5,7,5,5,0,1,Stable,Urban,3,0,Child Birth,1
2221,65,42601,847,0.38,1,13,6,9,0,4,Unstable,Urban,4,1,Home Purchase,0
2222,34,109809,539,0.33,1,17,6,3,0,5,Stable,Rural,4,1,None,0
2223,34,85035,660,0.33,1,5,7,6,0,3,Unstable,Suburban,4,2,Marriage,0
2224,31,48566,563,0.39,3,14,3,4,0,1,Unstable,Urban,0,2,None,0
2225,62,40616,711,0.36,1,11,8,7,0,3,Stable,Suburban,4,1,Home Purchase,0
2226,51,88025,775,0.17,4,19,5,4,0,4,Unstable,Suburban,2,2,Marriage,0
2227,57,64344,683,0.2,2,4,1,7,0,4,Unstable,Urban,2,1,Child Birth,0
2228,25,38730,652,0.17,5,17,4,1,1,5,Unstable,Rural,0,1,Child Birth,1
2229,68,56297,564,0.45,4,17,4,9,0,1,Stable,Urban,0,2,None,0
2230,58,49820,850,0.36,5,3,8,1,0,1,Stable,Urban,1,0,Marriage,0
2231,28,39398,697,0.31,3,14,9,5,1,1,Stable,Rural,2,0,None,0
2232,41,85364,654,0.5,3,6,3,8,0,2,Unstable,Rural,1,0,Child Birth,1
2233,28,79543,850,0.26,1,10,1,8,0,5,Stable,Suburban,0,1,Marriage,0
2234,67,80963,664,0.38,5,17,8,6,0,4,Stable,Suburban,2,0,None,1
2235,50,80616,608,0.14,3,2,9,6,0,5,Stable,Suburban,4,1,Child Birth,0
2236,28,37099,628,0.47,3,12,4,2,0,2,Stable,Suburban,4,0,None,1
2237,25,44907,614,0.45,5,16,5,4,1,1,Unstable,Suburban,0,2,Marriage,0
2238,31,96466,593,0.5,3,16,4,8,0,4,Unstable,Suburban,3,1,Home Purchase,0
2239,54,62700,630,0.54,1,3,4,2,0,1,Stable,Rural,0,2,Home Purchase,0
2240,33,23238,850,0.48,3,18,3,6,0,2,Unstable,Urban,2,1,Home Purchase,1
2241,59,65423,585,0.52,4,7,4,3,1,2,Stable,Suburban,0,2,Child Birth,0
2242,32,76369,550,0.27,4,10,9,7,0,1,Stable,Rural,0,0,Child Birth,0
2243,48,73101,727,0.27,1,8,7,9,0,1,Stable,Urban,4,2,None,0
2244,43,36553,692,0.57,4,18,6,8,0,3,Stable,Suburban,2,1,Child Birth,0
